participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, Ter, st
26, Spatiotemporal Gradient,1786.3363,1.4016,0,0.044549,0,0,0,3.8876,1.7877,6.60E-06,0.26086,0.90471,3.1032,1.8137,0.64372,0.87547,0.056894,0
27, Spatiotemporal Gradient,948.099,4.5278,0,1.2927,0,0,0,1.6796,0.95092,0.05826,0.51874,0.5316,1.3048,1.017,0.98834,0.48349,0.26942,0
28, Spatiotemporal Gradient,1196.3389,5.4402,0,3.8053,0,0,0,2.3719,0.9234,0.038982,0.80683,0.49975,0.49541,0.0086877,0.035117,0.68654,0.2222,0
29, Spatiotemporal Gradient,1404.5838,1.7007,0,9.78E-05,0,0,0,1.0256,1.5877,0.17395,0.071196,0.49017,0.2704,0.83675,0.47447,0.86481,0.255,0
30, Spatiotemporal Gradient,1296.1229,0.32367,0,2.4126,0,0,0,1.0763,0.7003,0.28655,0.19731,0.49734,0.0071689,1.5157,0.48832,0.49976,0.2772,0
31, Spatiotemporal Gradient,160.7802,6.8795,0,2.2243,0,0,0,1.9667,0.94952,0.094194,0.17427,0.87732,0.0096439,0.56508,0.95905,0.43244,0.20404,0
32, Spatiotemporal Gradient,1421.8047,4.2443,0,0.84872,0,0,0,2.4245,1.0737,0.14632,0.70943,0.727,0.93659,0.011784,0.67132,0.29932,0.20837,0
33, Spatiotemporal Gradient,1848.8874,4.1897,0,2.9354,0,0,0,2.4735,1.6927,0.28815,0.64168,0.50595,1.4862,0.74408,0.46001,0.41898,0.053106,0
34, Spatiotemporal Gradient,1627.8081,2.7891,0,1.762,0,0,0,3.623,1.6138,0.32338,0.29521,0.49494,0.40883,0.69703,0.092129,0.060413,0.17716,0
35, Spatiotemporal Gradient,2105.1051,1.4615,0,1.3714,0,0,0,3.3889,2.0453,0.13164,0.40583,0.60259,0.35875,0.53295,0.58587,0.7066,0.2079,0
36, Spatiotemporal Gradient,824.1723,4.8489,0,0.00011046,0,0,0,1.4196,0.7959,0.050407,0.59164,0.4978,0.84731,2.4913,0.0050417,0.33898,0.25448,0
,,45809.9044,3.343672907,0,2.091635701,0,0,0,2.117666389,1.280663889,0.152308977,0.356595528,0.660679167,0.704473156,27.4172298,0.407845514,0.515302158,0.188159537,0
