"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho","chi"
"result.19",19,510.203939194168,1040.40787838834,25.634206437924,12.8670611108348,0.429938085832729,0.0517862722922868,4.9681769391958,0.682590127519182,0.511614596372124,0.990913039485807,0.646559617574533,0.00117252209781366
"result.20",20,513.283134418671,1046.56626883734,20.2672811340132,23.724553531916,0.336889569609904,0.0987998268101364,2.02856687778579,0.749743165396737,0.498165738012084,0.0111263403619761,0.312498122220859,0.512554361098102
"result.21",21,631.394868983272,1282.78973796654,8.83296817822077,8.86338663116961,0.706412990046223,0.188632983164241,4.53235926942755,1.96207101454517,0.755478665255814,0.891883080221751,0.372571523236635,0.00434786549510487
"result.22",22,563.800858674551,1147.6017173491,38.8123028239017,19.6217669377995,0.518316571901133,0.974168604586721,1.1951109881331,1.09506765957281,0.790479747722401,0.0646044052162316,0.118613073602319,0.902695140769207
"result.23",23,596.223368599322,1212.44673719864,12.8563676142017,12.5613191235529,0.787126054834556,0.999725625156891,0.323201189875097,1.19533328460817,0.6205987798896,0.0619683719122628,0.0548938656893445,0.691441024072661
"result.24",24,576.910815845187,1173.82163169037,14.9603670662711,36.4175446078631,0.447348539219587,0.0459627773482889,1.78066939411934,0.000300796862148216,0.592107575060475,0.137470560557746,0.527067629040111,0.0099199297790855
"result.25",25,562.56768303574,1145.13536607148,25.0059534838138,39.9458223942881,0.324474806144047,0.999989319541082,0.546015378786251,1.08345401275618,0.633912054645204,0.996932575344652,0.733401989945742,0.00208638491863727
"result.26",26,360.167689033692,740.335378067385,12.8847132272526,39.9901072283112,0.153870952400988,0.0185676263645291,4.4205642359298,0.966038538192491,0.273909744688805,0.00432849757541044,0.0804027612056458,0.00200801301494159
"result.27",27,536.056362630855,1092.11272526171,12.7178118719991,39.8367479087464,0.134057461544899,0.99999963606377,4.96301171956047,0.00339550125431869,0.55204080348105,0.176188975226558,0.00903699232115163,0.805427752861773
"result.28",28,613.076869315596,1246.15373863119,16.4188556188069,35.8957057979816,0.515774820013418,0.955564833319907,0.733240200162236,4.52941362501455,0.750615145166194,0.241443973474881,0.00451450254502783,0.834922338954009
"result.29",29,639.857041420198,1299.7140828404,10.9501238422682,1.61319801287174,0.755152165985647,0.835877220577855,0.725659422446505,3.05516502064973,0.799429080977949,0.117436174942403,0.206890214186489,0.103799241484586
"result.30",30,644.522048429145,1309.04409685829,16.2834458334255,16.6066918810255,0.404925184686044,0.760134087856106,0.459817224167878,0.531849182483843,0.799046359251849,0.983205211029336,0.987853907001709,0.509741919613116
"result.31",31,298.191249518329,616.382499036659,16.2922152509909,8.97777369097033,0.0784067064641747,0.993574022544524,0.150093336919444,4.99542374070948,0.213997016636824,0.999807696095356,0.849097481291673,0.000791741457872014
"result.32",32,599.311685124469,1218.62337024894,15.9799411279467,7.17373273727466,0.561802436426249,0.995912749461702,8.25490288744075e-05,4.70938460658094,0.685550785312355,0.16650438616924,0.0413758053909987,0.597686921945962
"result.33",33,564.558150224013,1149.11630044803,20.4235995326819,0.278592466246614,0.347934193367886,0.985117554107496,0.767112866352409,0.759478977898116,0.573334894934861,0.735838882582248,0.809993472788483,0.00623134877954186
"result.34",34,472.573686009896,965.147372019792,12.395937695915,11.1143925277196,0.176515400889799,0.641938098716781,1.28912388420783,4.99894270056584,0.413703194261215,0.0306121411360102,0.00168711116832014,0.481261813774629
"result.35",35,578.723738392303,1177.44747678461,5.85923142188312,0.58623417606148,0.801716797436614,0.360209597764656,1.91018041177968,4.24423672042731,0.491762291259631,0.0240918511340658,0.00994756192952823,0.872357679506135
"result.36",36,555.178609035958,1130.35721807192,10.5919284684255,2.73985213142124,0.540512565563624,0.018755889066027,0.561428848062348,1.07525109016655,0.582746411114226,0.00472614956762735,0.0137965684598361,0.00820661019102495
