"word","is_sequential","present_trial","recog_rating","recog_RT","target_angle","response_angle","response_error","source_RT","valid_RT","block","session","recog_band","angle_1","angle_2","angle_3","angle_4","angle_5","angle_6","angle_7","angle_8","angle_9","angle_10","offset1","offset2","offset3","offset4","offset5","offset6","offset7","offset8","offset9","offset10","participant"
"OWLS",FALSE,9,"6",985.099999904633,4.77737579732379,4.70345266850962,0.0739231288141706,1476.10000002384,TRUE,1,2,"High",1.97762218199533,2.59839642787993,3.37088509691314,3.05105753622189,3.74855852728259,4.35592935271267,5.56830067035287,4.70027811403289,2.17394290889908,4.77737579732379,2.79975361532846,2.17897936944386,1.40649070041064,1.7263182611019,1.02881727004119,0.421446444611116,-0.790924873029081,0.0770976832909014,2.6034328884247,0,1
"REEL",FALSE,0,"6",645.799999952316,1.783662992801,2.20661769227716,-0.422954699476166,815.200000047684,TRUE,2,2,"High",1.783662992801,6.17630657699871,1.86359638694602,1.12641423852579,1.92676163072753,0.662814875156376,4.82082417228413,6.1303880508151,5.47326059270651,0.973237410573511,0,1.89054172298187,-0.079933394145026,0.657248754275209,-0.143098637926528,1.12084811764462,-3.03716117948313,1.93646024916548,2.59358770727407,0.810425582227487,1
"LAPS",FALSE,1,"6",827,6.17630657699871,0.61366987922006,-0.720548609400936,1090.70000004768,TRUE,2,2,"High",1.783662992801,6.17630657699871,1.86359638694602,1.12641423852579,1.92676163072753,0.662814875156376,4.82082417228413,6.1303880508151,5.47326059270651,0.973237410573511,-1.89054172298187,0,-1.9704751171269,-1.23329296870666,-2.0336403609084,-0.769693605337253,1.35548240471458,0.0459185261836073,0.703045984292199,-1.08011614075439,1
"FLEA",FALSE,2,"6",1276.89999997616,1.86359638694602,2.13463223728828,-0.27103585034226,3414.10000002384,TRUE,2,2,"High",1.783662992801,6.17630657699871,1.86359638694602,1.12641423852579,1.92676163072753,0.662814875156376,4.82082417228413,6.1303880508151,5.47326059270651,0.973237410573511,0.079933394145026,1.9704751171269,0,0.737182148420235,-0.0631652437815022,1.20078151178965,-2.95722778533811,2.01639364331051,2.6735211014191,0.890358976372513,1
"DUDS",FALSE,3,"6",739,1.12641423852579,1.07941152414452,0.0470027143812635,2522.60000002384,TRUE,2,2,"High",1.783662992801,6.17630657699871,1.86359638694602,1.12641423852579,1.92676163072753,0.662814875156376,4.82082417228413,6.1303880508151,5.47326059270651,0.973237410573511,-0.657248754275209,1.23329296870666,-0.737182148420235,0,-0.800347392201737,0.463599363369412,2.58877537342125,1.27921149489027,1.93633895299886,0.153176827952277,1
"SANE",FALSE,4,"6",580.799999952316,1.92676163072753,2.26724581039088,-0.340484179663352,613.399999976158,TRUE,2,2,"High",1.783662992801,6.17630657699871,1.86359638694602,1.12641423852579,1.92676163072753,0.662814875156376,4.82082417228413,6.1303880508151,5.47326059270651,0.973237410573511,0.143098637926528,2.0336403609084,0.0631652437815022,0.800347392201737,0,1.26394675557115,-2.8940625415566,2.07955888709201,2.7366863452006,0.953524220154015,1
"HARP",FALSE,5,"6",1073.39999997616,0.662814875156376,0.820916159104176,-0.1581012839478,1690,TRUE,2,2,"High",1.783662992801,6.17630657699871,1.86359638694602,1.12641423852579,1.92676163072753,0.662814875156376,4.82082417228413,6.1303880508151,5.47326059270651,0.973237410573511,-1.12084811764462,0.769693605337253,-1.20078151178965,-0.463599363369412,-1.26394675557115,0,2.12517601005183,0.81561213152086,1.47273958962945,-0.310422535417135,1
"FADE",FALSE,6,"6",2505.79999995232,4.82082417228413,2.29573867140721,2.52508550087691,2164.5,TRUE,2,2,"High",1.783662992801,6.17630657699871,1.86359638694602,1.12641423852579,1.92676163072753,0.662814875156376,4.82082417228413,6.1303880508151,5.47326059270651,0.973237410573511,3.03716117948313,-1.35548240471458,2.95722778533811,-2.58877537342125,2.8940625415566,-2.12517601005183,0,-1.30956387853097,-0.652436420422381,-2.43559854546897,1
"GALE",FALSE,7,"6",736.100000023842,6.1303880508151,5.88680186636773,0.243586184447374,2674.39999997616,TRUE,2,2,"High",1.783662992801,6.17630657699871,1.86359638694602,1.12641423852579,1.92676163072753,0.662814875156376,4.82082417228413,6.1303880508151,5.47326059270651,0.973237410573511,-1.93646024916548,-0.0459185261836073,-2.01639364331051,-1.27921149489027,-2.07955888709201,-0.81561213152086,1.30956387853097,0,0.657127458108592,-1.12603466693799,1
"LEAP",FALSE,8,"6",736.799999952316,5.47326059270651,5.4767245281609,-0.00346393545439039,848.099999904633,TRUE,2,2,"High",1.783662992801,6.17630657699871,1.86359638694602,1.12641423852579,1.92676163072753,0.662814875156376,4.82082417228413,6.1303880508151,5.47326059270651,0.973237410573511,-2.59358770727407,-0.703045984292199,-2.6735211014191,-1.93633895299886,-2.7366863452006,-1.47273958962945,0.652436420422381,-0.657127458108592,0,-1.78316212504659,1
"MUTE",FALSE,9,"6",668.5,0.973237410573511,3.9108832219842,-2.93764581141069,2663.30000007153,TRUE,2,2,"High",1.783662992801,6.17630657699871,1.86359638694602,1.12641423852579,1.92676163072753,0.662814875156376,4.82082417228413,6.1303880508151,5.47326059270651,0.973237410573511,-0.810425582227487,1.08011614075439,-0.890358976372513,-0.153176827952277,-0.953524220154015,0.310422535417135,2.43559854546897,1.12603466693799,1.78316212504659,0,1
"ITCH",FALSE,0,"6",627.600000023842,0.00302974056605238,6.26644670186509,0.0197683458805502,1275.29999995232,TRUE,3,2,"High",0.00302974056605238,0.292941025298579,3.15644301417858,4.69479404402955,1.52935563080941,1.28987314391555,4.85912668346319,1.89421066132254,0.54918356278153,1.30174106311674,0,-0.289911284732526,3.12977203356706,1.59142100371609,-1.52632589024335,-1.2868434033495,1.42708836428245,-1.89118092075649,-0.546153822215477,-1.29871132255069,1
"FRET",FALSE,1,"5",1503.29999995232,0.292941025298579,5.49212320747473,1.08400312500344,813.199999928474,TRUE,3,2,"Low",0.00302974056605238,0.292941025298579,3.15644301417858,4.69479404402955,1.52935563080941,1.28987314391555,4.85912668346319,1.89421066132254,0.54918356278153,1.30174106311674,0.289911284732526,0,-2.86350198888,1.88133228844861,-1.23641460551083,-0.99693211861697,1.71699964901497,-1.60126963602396,-0.256242537482951,-1.00880003781816,1
"RIPE",FALSE,2,"6",861.599999904633,3.15644301417858,1.58871555702427,1.56772745715431,1456.70000004768,TRUE,3,2,"High",0.00302974056605238,0.292941025298579,3.15644301417858,4.69479404402955,1.52935563080941,1.28987314391555,4.85912668346319,1.89421066132254,0.54918356278153,1.30174106311674,-3.12977203356706,2.86350198888,0,-1.53835102985097,1.62708738336918,1.86656987026303,-1.70268366928461,1.26223235285604,2.60725945139705,1.85470195106184,1
