participant, model_name, ll, AIC, v1t_1, v2t_1,  v1i_1,  v2i_1,       eta1_t, eta2_t, eta1_i, eta2_i,     at,  ag,    beta,    gamma,      tau,  l_b,   l_f,       zeta,  rho,     chi,        psi1,       iota,  upsilon,       Ter,    st
17, spatiotemporal,425.0073,882.0147,4.9598,0,2.9391,0,0.04859,0.080984,0.88527,0.019209,1.7977,0.76336,0.36987,0.060281,0.75496,0.70813,0.53817,0.22007,0.30033,0,0,0,0,0.29212,0
18, spatiotemporal,691.028,1414.0561,2.5056,0,0.9326,0,0.91573,0.18955,0.2722,0.039515,3.0034,0.92985,0.081309,0.050973,0.20095,0.70655,0.70552,0.60873,0.33701,0,0,0,0,0.15018,0
19, spatiotemporal,746.2918,1524.5836,3.8376,0,0.98733,0,0.90575,0.045205,0.33477,0.063372,2.2287,0.93478,0.32001,0.060687,0.63809,0.39697,0.61206,0.49985,0.19835,0,0,0,0,0.29585,0
20, spatiotemporal,825.7392,1683.4783,3.2305,0,1.6319,0,0.79401,0.047312,0.29292,0.053548,2.8722,1.0909,0.09256,0.074061,0.47363,0.64379,1.5903,0.19147,0.18712,0,0,0,0,0.36235,0
21, spatiotemporal,526.4635,1084.9271,4.4599,0,2.7278,0,0.047744,0.010075,0.67472,0.031383,1.3834,0.69771,0.19899,0.11137,0.58416,0.39859,0.93433,0.58831,0.57201,0,0,0,0,0.25787,0
22, spatiotemporal,425.7138,883.4276,5.8588,0,1.1304,0,0.046077,0.069768,0.9025,0.13469,1.2203,0.63565,0.5951,0.085286,0.4505,0.73481,0.74059,0.41311,0.19714,0,0,0,0,0.25578,0
23, spatiotemporal,975.244,1982.4881,2.5354,0,0.84713,0,0.049609,0.12271,0.90124,0.045299,2.0983,0.84499,0.11222,0.095051,0.51061,1.0861,0.74076,0.20307,0.5251,0,0,0,0,0.23886,0
24, spatiotemporal,578.0056,1188.0112,3.4329,0,2.8552,0,0.31329,0.022951,0.79961,0.046854,1.7779,0.71532,0.094237,0.095528,0.75242,0.39866,0.39788,0.19844,0.52764,0,0,0,0,0.25586,0
25, spatiotemporal,672.3476,1376.6952,6.9715,0,0.49896,0,0.22331,0.046691,0.74005,0.033409,2.0324,0.98977,0.52992,0.065766,0.64678,0.40009,0.71865,0.5156,0.27227,0,0,0,0,0.29569,0
26, spatiotemporal,930.4355,1892.8709,1.2406,0,1.8669,0,0.12749,0.01175,0.5181,0.025741,3.0221,0.66953,0.066047,0.052193,0.59427,0.99518,0.70311,0.32564,0.18256,0,0,0,0,0.41476,0
27, spatiotemporal,467.9289,967.8579,3.8374,0,1.5554,0,0.77887,0.061425,0.83286,0.08383,1.2539,0.68888,0.2407,0.052244,0.57761,0.4786,0.55529,0.50031,0.28372,0,0,0,0,0.33204,0
28, spatiotemporal,585.9577,1203.9154,3.4986,0,1.9472,0,0.32871,0.079115,0.90617,0.03357,1.4975,0.75006,0.49382,0.083577,0.24897,0.39844,0.39973,0.19523,0.47508,0,0,0,0,0.24871,0
29, spatiotemporal,689.5908,1411.1816,3.1265,0,0.49847,0,0.49891,0.23697,0.52244,0.096749,1.2157,0.64102,0.39097,0.10898,0.39257,0.39916,0.45478,0.22233,0.242,0,0,0,0,0.34901,0
30, spatiotemporal,632.0576,1296.1152,5.6361,0,1.1495,0,0.26811,0.037897,0.78338,0.010018,1.3137,0.79711,0.5524,0.11916,0.62159,0.5527,0.48668,0.29883,0.19862,0,0,0,0,0.28445,0
31, spatiotemporal,91.4863,214.9725,6.2586,0,1.2638,0,0.047103,0.038266,0.26108,0.1228,1.4901,0.6905,0.097087,0.050336,0.75631,1.1376,1.0877,0.60193,0.19276,0,0,0,0,0.25439,0
32, spatiotemporal,700.3312,1432.6623,3.5054,0,1.5163,0,0.049617,0.037639,0.90146,0.057604,1.9226,0.899,0.48666,0.071494,0.38977,0.47432,0.42752,0.39483,0.19823,0,0,0,0,0.24182,0
33, spatiotemporal,918.7023,1869.4045,2.6178,0,0.49951,0,0.90346,0.036028,0.043973,0.11835,1.9238,1.1933,0.4158,0.087289,0.69756,0.41717,0.79446,0.60192,0.43378,0,0,0,0,0.17184,0
34, spatiotemporal,806.7811,1645.5622,2.2404,0,1.4654,0,0.29019,0.039107,0.048109,0.082381,3.0103,1.3457,0.10901,0.057289,0.41343,1.3353,0.98039,0.30135,0.19789,0,0,0,0,0.18193,0
35, spatiotemporal,1057.4416,2146.8832,1.1003,0,0.83696,0,0.047225,0.17325,0.12835,0.11157,2.546,1.2932,0.10287,0.074737,0.62206,0.3957,1.0373,0.20331,0.18699,0,0,0,0,0.45664,0
36, spatiotemporal,405.3755,842.751,4.1937,0,2.2678,0,0.66969,0.04524,0.75547,0.044619,1.2629,0.7442,0.38835,0.053933,0.2454,0.67144,0.53997,0.19677,0.20892,0,0,0,0,0.25802,0
,,,,3.60,0.00,1.33,0.00,0.54,0.08,0.55,0.07,1.87,0.86,0.29,0.07,0.54,0.73,0.65,0.37,0.31,0.00,0.00,0.00,0.00,0.26,0.00
