"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho"
"result.12",12,615.399546657242,1248.79909331448,8.00689240887276,0.140649531626844,0.565853217149416,0.871299675200135,1.76690552723377,4.50242923440159,0.344544071873239,0.297486716579525,0.204756375402212
"result.13",13,615.996500328102,1249.9930006562,4.70087593066101,0.113696598467984,0.355060871777876,0.514202922603867,1.94280038676684,2.15218055358533,0.377277573743074,0.231908924734903,0.553748701589404
"result.14",14,640.86919976084,1299.73839952168,49.1996331917692,18.7756992371185,0.112681949995483,0.729387927479649,0.248619873309508,1.51761965149053,0.69514878135042,0.00908333391209079,0.993048147560656
"result.15",15,621.816754306505,1261.63350861301,5.52832633652145,5.52528264126548,0.441036857994191,0.641482598985901,4.71607387978575,4.8604275946685,0.671862434961198,0.217794021194195,0.00125641089331628
"result.16",16,489.646176638994,997.292353277988,14.8337682707872,8.62748033943145,0.159313499444241,0.928033523309504,0.358022124871262,2.22159998143317,0.306642787753707,0.454761414366977,0.641589382836964
"result.17",17,520.170687468113,1058.34137493623,12.7596880019612,10.4460838861647,0.186866124003773,0.883939944673026,0.0258827141422892,0.0300792382831134,0.352370653833948,0.528375817738675,0.539382443018164
"result.18",18,163.163376995874,344.326753991749,11.7615199542811,0.961911175705485,0.0162799946736778,0.879958370089545,4.56310714153004,0.0332478391418494,0.00602117171870648,0.924159925568732,0.992485817863886
"result.19",19,496.32150197295,1010.6430039459,37.0433171249009,11.6082716517669,0.128037516885918,0.882641258221873,0.852902450644456,0.70793604827486,0.306259466847566,0.797098896600559,0.943094790299075
"result.20",20,501.228717369507,1020.45743473901,26.3324681883192,11.5065213724081,0.135164674250171,0.42357185663586,1.48376921531799,2.68404273699009,0.301108192446403,0.514925537133221,0.890392019917816
"result.21",21,620.620781610157,1259.24156322031,8.84921799780138,8.79323805571407,0.157372875031138,0.613017850657463,2.0299508123756,2.08795937580855,0.409727278684915,0.0517995445785811,0.853205602709198
"result.22",22,555.7212292675,1129.442458535,49.5915537492626,11.3713640479945,0.25850838301445,0.453967856676087,0.522841737485366,0.327041287171061,0.529017431838214,0.000148299414998329,0.573412265735554
"result.23",23,590.652030200889,1199.30406040178,15.0855389751008,9.95120592389664,0.0801323015481554,0.461940497780857,2.40543767266786,0.0969327874459879,0.409620532430567,0.00352260823968938,0.95116432917648
"result.24",24,567.338468355313,1152.67693671063,18.8340111212851,16.6181609735026,0.101113254898691,0.374836314231037,1.67436410296973,0.0178076658438811,0.378431836355881,0.00235511529142993,0.879713993850819
"result.25",25,560.155816620184,1138.31163324037,21.7580825865243,2.25322377331516,0.375517332495636,0.971205938640728,4.77249297301438,4.9766051873226,0.518794857587189,0.979669028828406,0.157148665323164
"result.26",26,359.170975504893,736.341951009786,13.430363693022,3.17865812306944,0.212930111161664,0.389949800290243,0.417746618379639,0.124792066635564,0.0446579619324138,0.497922535052149,0.352497704136735
"result.27",27,536.018585319468,1090.03717063894,14.3877933664527,1.9878329899442,0.0793692958963013,0.999596406490129,4.96580682424565,0.00800640259833667,0.517302993031339,0.989610992943979,0.876295193471014
"result.28",28,610.606594041573,1239.21318808315,36.6061047348868,29.7511786875203,0.17800835125695,0.0369926506856715,0.0116747039296236,0.131423617324947,0.678602736675164,0.678498818759394,0.862543567139512
"result.29",29,639.884442408432,1297.76888481686,9.28640248315816,0.646242204185173,0.364454080350697,0.0847007117699832,1.84569867951434,2.9281080111327,0.621784197983674,0.00051241759796343,0.598032380020342
"result.30",30,636.048089928656,1290.09617985731,22.1834667904143,20.2228149390745,0.491297306688794,0.595934929180836,0.0244241672213976,0.000661145626504545,0.715169897913461,0.587768817072033,0.466290622253924
"result.31",31,287.389601055968,592.779202111936,19.4623543572886,19.3505661477902,0.127309850275034,0.995481273516509,0.705600714452161,4.97358315857127,0.142766316953353,0.999144619618532,0.636249642989696
"result.32",32,595.334104562745,1208.66820912549,22.5926543501832,13.9879852468558,0.312576156081559,0.988547074677748,0.00173578977277937,2.01399937104353,0.583412983918559,0.97955892507345,0.617256054133279
"result.33",33,563.875371255312,1145.75074251062,25.9710469477488,3.6169292189622,0.199997356444659,0.371467319226425,4.78152815239135,0.763321792312368,0.537893284395507,0.970725076040253,0.818543561549192
